name,score,Native,Romaji,English,Hashtag,Season,Favorites,Popularity,Genres,Tags,Status Distribution,Prequel,Sequel,addictive,indecisive,forgettable,NoLoved,excelent,loved,choosed,Violence,Cliche,Action,Adventure,Comedy,Ecchi,Harem,Drama,Mystery,Romance,Fantasy,Mahou Shoujo,Magic,Horror,Sci-Fi,Mecha,Supernatural,Historical,Military,Politics,Isekai,Slice of Life,School life,Sports,Arts,Cute,Music,idol,Psychological,Spokon,Protagonist,Female Protagonist,Male Protagonist,Ensemble Cast,Shounen,Shoujo,Seinen,Josei,Worldbuilding,Iyashikei
Tate no Yuusha no Nariagari Season 2,66,盾の勇者の成り上がり Season2,Tate no Yuusha no Nariagari Season 2,The Rising of the Shield Hero Season 2,#盾の勇者の成り上がり #shieldhero,Spring 2022,2811,137538,"Action, Adventure, Fantasy","Isekai, 96%, Male Protagonist, 87%, Magic, 85%, CGI, 74%, Kemonomimi, 68%, Female Harem, 66%, Slavery, 65%, Fishing, 20%, Nudity, 10%, Show 5 spoiler tags","['Planning', '58897', 'Users', 'Completed', '41982', 'Users', 'Current', '22572', 'Users', 'Dropped', '8981', 'Users']",True,True,4.67,1.4,0.21,3229.28,185526,1.35,2.87,,0.24,1.77,1.77,,0.04,0.23,,,,2.37,,0.3,,,,,,,0.23,0.34,,,0.07,,,,,,,0.31,,0.31,,,,,,,
Kawaii dake ja Nai Shikimori-san,68,可愛いだけじゃない式守さん,Kawaii dake ja Nai Shikimori-san,"""Shikimoris Not Just a Cutie""",#式守さん,Spring 2022,2630,107770,"Comedy, Romance, Slice of Life","Heterosexual, 94%, Primarily Teen Cast, 93%, Female Protagonist, 90%, Male Protagonist, 88%, Iyashikei, 85%, School, 74%, Episodic, 74%, Coming of Age, 67%, Kuudere, 62%, Tsundere, 55%, Shounen, 48%, Football, 40%, Basketball, 36%, Meta, 35%, Volleyball, 25%, Tomboy, 20%, Athletics, 20%, Show 2 spoiler tags","['Completed', '35874', 'Users', 'Planning', '31622', 'Users', 'Current', '22008', 'Users', 'Dropped', '13213', 'Users']",False,False,2.72,0.88,0.37,2786.45,178840,1.66,3.09,,0.56,,,2.28,,,0.31,,3.13,,,,,,,,,,,,3.05,0.34,0.43,,,,,,,0.81,0.41,0.4,,0.22,,,,,0.39
"Komi-san wa, Komyushou desu. 2",81,古見さんは、コミュ症です。2,"Komi-san wa, Komyushou desu. 2","""Komi Cant Communicate Part 2""",#古見さん #komisan,Spring 2022,2650,89775,"Comedy, Romance, Slice of Life","Kuudere, 93%, School, 89%, Disability, 86%, Primarily Teen Cast, 85%, Female Protagonist, 85%, Male Protagonist, 80%, Slapstick, 74%, Coming of Age, 67%, Heterosexual, 67%, Episodic, 65%, Shounen, 56%, Chuunibyou, 41%, Love Triangle, 41%, Agender, 40%, Trains, 33%, Yandere, 31%, Shogi, 16%","['Completed', '43114', 'Users', 'Planning', '28446', 'Users', 'Current', '13681', 'Users', 'Paused', '2734', 'Users']",True,False,0.0,0.66,0.0,2744.07,214650,2.39,3.78,,1.33,,0.27,5.23,,,0.54,,5.45,0.32,,,,,,,,,,,4.03,0.72,,,,,,,,1.33,0.69,0.65,,0.45,,,,,
Summer Time Render,83,サマータイムレンダ,Summer Time Render,Summer Time Rendering,#サマータイムレンダ,Spring 2022,3708,87079,"Action, Drama, Mystery, Supernatural, Thriller","Super Power, 89%, Rural, 85%, Ensemble Cast, 81%, Male Protagonist, 78%, Shounen, 76%, Guns, 60%, Denpa, 56%, Tanned Skin, 56%, Show 17 spoiler tags","['Planning', '36450', 'Users', 'Completed', '26294', 'Users', 'Current', '18767', 'Users', 'Paused', '3412', 'Users']",False,False,0.0,1.39,0.0,1949.18,307764,3.53,6.83,0.68,,9.74,,,,,6.1,6.1,,,,,,,,8.28,,0.73,,,,,,,,,,,,1.94,,0.95,0.99,0.93,,,,,
Aharen-san wa Hakarenai,72,阿波連さんははかれない,Aharen-san wa Hakarenai,Aharen-san wa Hakarenai,#阿波連さん,Spring 2022,1560,66667,"Comedy, Romance, Slice of Life","Kuudere, 96%, Surreal Comedy, 95%, School, 93%, Slapstick, 86%, Episodic, 83%, Primarily Teen Cast, 80%, Male Protagonist, 79%, Female Protagonist, 79%, Heterosexual, 71%, Parody, 62%, Meta, 58%, Cute Girls Doing Cute Things, 50%, Teacher, 40%, Family Life, 40%, Shounen, 40%, Animals, 40%, Baseball, 40%, Tsundere, 33%, Crossdressing, 32%, Basketball, 22%, Shogi, 17%, Table Tennis, 17%, Fishing, 15%, CGI, 10%, Show 1 spoiler tags","['Completed', '26136', 'Users', 'Planning', '19698', 'Users', 'Current', '11895', 'Users', 'Dropped', '5967', 'Users']",False,False,4.38,0.75,0.23,3076.94,112320,1.68,2.95,,0.64,,,4.92,,,,,3.2,,,,,,,,,,,,2.9,0.46,0.3,,0.25,,,,,0.79,0.39,0.39,,0.2,,,,,
Paripi Koumei,81,パリピ孔明,Paripi Koumei,Ya Boy Kongming!,#パリピ孔明,Spring 2022,1991,56950,"Comedy, Drama, Music, Supernatural","Musical, 95%, Reincarnation, 90%, Urban, 88%, Anachronism, 83%, Band, 80%, Primarily Adult Cast, 76%, Historical, 74%, Female Protagonist, 72%, Male Protagonist, 72%, Ensemble Cast, 65%, Classic Literature, 64%, Seinen, 53%, Work, 53%, Bar, 50%, Military, 48%, Biographical, 46%, Time Manipulation, 45%, Idol, 30%, Dancing, 22%","['Completed', '27780', 'Users', 'Planning', '17206', 'Users', 'Current', '8510', 'Users', 'Paused', '1817', 'Users']",False,False,0.0,0.62,0.0,2316.9,161271,2.83,4.44,,,,,4.78,,,4.78,,,,,,,0.43,,4.78,0.71,0.46,0.84,,0.51,,,0.82,,8.12,0.29,,,2.0,0.69,0.69,0.62,,,0.51,,,
Kakkou no Iinazuke,68,カッコウの許嫁,Kakkou no Iinazuke,A Couple of Cuckoos,＃カッコウの許嫁,Spring 2022,1191,54427,"Comedy, Romance","Male Protagonist, 85%, School, 75%, Heterosexual, 74%, Shounen, 72%, Inseki, 69%, Female Protagonist, 67%, Cosplay, 26%, Show 4 spoiler tags","['Planning', '20768', 'Users', 'Completed', '14896', 'Users', 'Current', '12363', 'Users', 'Dropped', '4026', 'Users']",False,False,3.7,1.39,0.27,3107.5,80988,1.49,2.97,,,,,2.04,,,,,2.65,,,,,,,,,,,,,0.31,,,,,,,,0.62,0.27,0.35,,0.29,,,,,
"Yuusha, Yamemasu",70,勇者、辞めます,"Yuusha, Yamemasu",I’m Quitting Heroing,#yuuyame #勇やめ,Spring 2022,1181,51559,"Action, Adventure, Comedy, Fantasy","Magic, 94%, Male Protagonist, 93%, Super Power, 79%, Anti-Hero, 77%, Primarily Adult Cast, 70%, Demons, 65%, Kemonomimi, 60%, Female Protagonist, 40%, Swordplay, 40%, Work, 40%, Tsundere, 30%, Elf, 26%, War, 20%, Show 5 spoiler tags","['Completed', '26174', 'Users', 'Planning', '13396', 'Users', 'Current', '7801', 'Users', 'Dropped', '2960', 'Users']",False,False,8.84,0.51,0.11,3055.99,82670,1.6,2.43,,0.41,3.38,2.29,2.29,,,,,,4.05,,0.43,,,,0.51,,0.09,,,0.18,,,,,,,,,0.61,0.18,0.43,,,,,,,
"Shijou Saikyou no Daimaou, Murabito A ni Tensei suru",62,史上最強の大魔王、村人Aに転生する,"Shijou Saikyou no Daimaou, Murabito A ni Tensei suru",The Greatest Demon Lord Is Reborn as a Typical Nobody,#村人Aに転生,Spring 2022,1119,49866,"Action, Ecchi, Fantasy, Romance","Magic, 92%, Reincarnation, 91%, Female Harem, 85%, Male Protagonist, 82%, Heterosexual, 82%, Time Skip, 71%, School, 60%, Tsundere, 35%, War, 20%, Military, 20%, Love Triangle, 20%, Show 3 spoiler tags","['Completed', '25367', 'Users', 'Planning', '10842', 'Users', 'Current', '8373', 'Users', 'Dropped', '4155', 'Users']",False,False,6.11,0.43,0.16,2762.91,69378,1.39,2.06,,0.12,1.65,,,1.65,0.28,,,2.25,2.25,,0.3,,,,,,0.13,,,,0.2,,,,,,,,0.27,,0.27,,,,,,,
Otomege Sekai wa Mob ni Kibishii Sekai desu,72,乙女ゲー世界はモブに厳しい世界です,Otomege Sekai wa Mob ni Kibishii Sekai desu,Trapped in a Dating Sim: The World of Otome Games Is Tough for Mobs,#モブせか #mobseka,Spring 2022,1486,49760,"Action, Fantasy, Mecha, Romance","Anti-Hero, 90%, Isekai, 88%, Male Protagonist, 86%, Robots, 77%, Ojou-sama, 75%, Primarily Teen Cast, 73%, School, 70%, Virtual World, 66%, Female Harem, 62%, Artificial Intelligence, 60%, Magic, 57%, Video Games, 55%, Parody, 54%, Bullying, 54%, Male Harem, 52%, Super Robot, 52%, Real Robot, 33%, Military, 30%, Reincarnation, 26%, Show 1 spoiler tags","['Completed', '29004', 'Users', 'Planning', '11760', 'Users', 'Current', '6328', 'Users', 'Dropped', '1931', 'Users']",False,True,15.02,0.41,0.07,2410.98,106992,2.15,3.03,,,3.19,,0.34,,0.73,0.34,,3.19,3.91,,0.36,,0.76,4.06,,,0.19,,0.56,,0.45,,,,,,,,0.55,,0.55,,,,,,,
"Gaikotsu Kishi-sama, Tadaima Isekai e Odekakechuu",71,骸骨騎士様、只今異世界へお出掛け中,"Gaikotsu Kishi-sama, Tadaima Isekai e Odekakechuu",Skeleton Knight in Another World,#骸骨騎士様,Spring 2022,1299,49670,"Action, Adventure, Comedy, Fantasy","Skeleton, 95%, Isekai, 91%, Male Protagonist, 90%, Magic, 83%, Swordplay, 78%, Elf, 74%, Politics, 66%, CGI, 63%, Kemonomimi, 60%, Ninja, 60%, Conspiracy, 60%, Gore, 50%, Tsundere, 44%, Slapstick, 30%, Dragons, 28%, Show 2 spoiler tags","['Completed', '28208', 'Users', 'Planning', '10847', 'Users', 'Current', '7391', 'Users', 'Dropped', '2280', 'Users']",False,False,12.37,0.38,0.08,2714.83,92229,1.86,2.59,0.27,0.44,4.09,2.7,3.03,,,,,,6.17,,0.45,,,,,,,0.36,0.49,,,,,,,,0.36,,0.49,,0.49,,,,,,,
Date A Live IV,76,デート・ア・ライブIV,Date A Live IV,Date A Live IV,#date_a_live,Spring 2022,1322,44874,"Comedy, Ecchi, Mecha, Romance, Sci-Fi","Female Harem, 97%, Super Power, 91%, Male Protagonist, 89%, Primarily Female Cast, 89%, CGI, 69%, Love Triangle, 62%, Cute Girls Doing Cute Things, 61%, Heterosexual, 50%, Kuudere, 48%, Ghost, 40%, Tragedy, 40%, School, 24%, Witch, 20%, Show 5 spoiler tags","['Planning', '22371', 'Users', 'Completed', '15464', 'Users', 'Current', '5206', 'Users', 'Paused', '1015', 'Users']",True,True,0.0,1.45,0.0,2579.75,100472,2.24,4.86,,0.34,0.64,,3.54,3.54,0.69,,,4.77,0.42,,,,3.54,3.54,0.93,,,,,,0.17,,,1.06,,,,,0.63,,0.63,,,,,,,
Aoashi,82,アオアシ,Aoashi,Aoashi,#アオアシ,Spring 2022,1943,43164,Sports,"Football, 99%, Male Protagonist, 90%, Primarily Teen Cast, 88%, Primarily Male Cast, 84%, Seinen, 79%, Heterosexual, 67%, School, 57%, Coming of Age, 56%, Bullying, 40%, Show 2 spoiler tags","['Completed', '19233', 'Users', 'Planning', '12609', 'Users', 'Current', '8505', 'Users', 'Dropped', '1410', 'Users']",False,False,13.64,0.66,0.07,1821.64,159326,3.69,5.74,,,,,,,,1.21,,0.84,,,,,,,,,,,,,0.72,8.8,,,,,,,1.13,,1.13,,,,1.0,,,
Koi wa Sekai Seifuku no Ato de,74,恋は世界征服のあとで,Koi wa Sekai Seifuku no Ato de,Love After World Domination,#恋せか,Spring 2022,951,42092,"Action, Comedy, Ecchi, Romance, Supernatural","Tokusatsu, 92%, Heterosexual, 91%, Parody, 90%, Female Protagonist, 87%, Superhero, 83%, Villainess, 82%, Male Protagonist, 80%, Gyaru, 79%, Primarily Teen Cast, 63%, Urban Fantasy, 60%, Henshin, 60%, School, 47%, Shounen, 40%, Show 1 spoiler tags","['Completed', '18123', 'Users', 'Planning', '13384', 'Users', 'Current', '6659', 'Users', 'Dropped', '2410', 'Users']",False,False,7.52,0.74,0.13,3275.3,70374,1.67,2.84,,0.4,2.56,,3.48,2.56,,,,3.49,0.61,,,,,,3.41,,,,,,0.24,,,,,,,,0.86,0.45,0.41,,0.2,,,,,
Shokei Shoujo no Virgin Road,67,処刑少女の生きる道（バージンロード）,Shokei Shoujo no Virgin Road,The Executioner and Her Way of Life,#shokei_anime #処刑少女,Spring 2022,499,34973,"Action, Adventure, Drama, Fantasy","Magic, 90%, Primarily Female Cast, 86%, Female Protagonist, 86%, Isekai, 84%, Assassins, 79%, Religion, 70%, Gore, 68%, Meta, 62%, Primarily Teen Cast, 60%, Reincarnation, 55%, Travel, 50%, Cute Girls Doing Cute Things, 46%, Show 9 spoiler tags","['Planning', '12331', 'Users', 'Completed', '11722', 'Users', 'Current', '5976', 'Users', 'Dropped', '3404', 'Users']",False,False,3.44,1.05,0.29,4695.77,33433,0.96,1.89,0.17,,1.63,1.54,,,,1.28,,,1.75,,0.23,,,,,,0.2,0.18,0.22,,,,,0.34,,,,,0.22,0.22,,,,,,,,
Rikei ga Koi ni Ochita no de Shoumei shitemita. r=1-sinθ (Heart),71,理系が恋に落ちたので証明してみた。r=1-sinθ（ハート）,Rikei ga Koi ni Ochita no de Shoumei shitemita. r=1-sinθ (Heart),"Science Fell in Love, So I Tried to Prove It r=1-sinθ",#リケ恋,Spring 2022,432,29370,"Comedy, Romance","Educational, 91%, Primarily Adult Cast, 88%, College, 85%, Heterosexual, 68%, Teacher, 60%, Meta, 53%, Idol, 26%, Seinen, 25%, Drawing, 16%, Show 3 spoiler tags","['Planning', '13872', 'Users', 'Completed', '9713', 'Users', 'Current', '3656', 'Users', 'Dropped', '1099', 'Users']",True,False,8.84,1.43,0.11,4827.01,30672,1.04,2.29,,,,,1.52,,,,,1.93,,,,,,,,,,,,,,,0.05,,,0.08,,,,,,,,,0.08,,,
Mahoutsukai Reimeiki,62,魔法使い黎明期,Mahoutsukai Reimeiki,The Dawn of the Witch,#魔法使い黎明期,Spring 2022,472,28590,"Action, Adventure, Comedy, Ecchi, Fantasy","Magic, 73%, Male Protagonist, 70%, Witch, 66%, Female Protagonist, 60%, Amnesia, 52%, Gore, 40%, Animals, 40%, Incest, 25%, Cult, 20%, Kemonomimi, 20%, Nekomimi, 20%","['Completed', '9753', 'Users', 'Planning', '9698', 'Users', 'Current', '5342', 'Users', 'Dropped', '2810', 'Users']",False,False,3.47,0.99,0.29,3755.47,29264,1.02,1.94,0.1,0.05,1.4,1.21,1.21,1.21,,,0.13,,1.98,,0.18,,,,,,,0.05,,,,,,0.05,,,0.05,,0.24,0.15,0.17,,,,,,,
Honzuki no Gekokujou: Shisho ni Naru Tame ni wa Shudan wo Erandeiraremasen 3rd Season,79,本好きの下剋上 司書になるためには手段を選んでいられません 第3期,Honzuki no Gekokujou: Shisho ni Naru Tame ni wa Shudan wo Erandeiraremasen 3rd Season,Ascendance of a Bookworm Season 3,#本好きの下剋上,Spring 2022,643,25822,"Drama, Fantasy, Slice of Life","Isekai, 95%, Female Protagonist, 93%, Work, 85%, Economics, 83%, Reincarnation, 76%, Magic, 74%, Religion, 65%, Time Skip, 45%, Gods, 42%, Orphan, 20%, Politics, 20%","['Completed', '13654', 'Users', 'Planning', '8634', 'Users', 'Current', '2695', 'Users', 'Paused', '467', 'Users']",True,False,0.0,0.63,0.0,3172.53,50797,1.97,3.11,,,,,,,,3.5,,,4.2,,0.48,,,,,,,1.09,0.62,4.34,,,,,,,0.13,,0.6,0.6,,,,,,,,
Deaimon,75,であいもん,Deaimon,Deaimon: Recipe for Happiness,#であいもん #deaimon,Spring 2022,383,19780,Slice of Life,"Iyashikei, 90%, Food, 85%, Family Life, 85%, Found Family, 79%, Seinen, 76%, Work, 74%, Episodic, 67%, Male Protagonist, 67%, Primarily Adult Cast, 46%, Tsundere, 45%, Love Triangle, 44%, Show 2 spoiler tags","['Completed', '9041', 'Users', 'Planning', '6421', 'Users', 'Current', '2637', 'Users', 'Dropped', '1028', 'Users']",False,False,8.79,0.71,0.11,3873.37,28725,1.45,2.46,,0.2,,,,,,,,0.2,,,,,,,,,,,,4.87,,,,,,,,,0.3,,0.3,,,,0.34,,,0.41
Dance Dance Danseur,77,ダンス・ダンス・ダンスール,Dance Dance Danseur,Dance Dance Danseur,#ダンスール,Spring 2022,437,19233,"Drama, Romance, Slice of Life, Sports","Dancing, 95%, Male Protagonist, 88%, Seinen, 60%, Heterosexual, 60%, Bullying, 55%, Acting, 55%, School, 50%, School Club, 50%, Martial Arts, 38%, Judo, 33%, CGI, 20%, POV, 20%, Show 3 spoiler tags","['Completed', '7916', 'Users', 'Planning', '7811', 'Users', 'Current', '2070', 'Users', 'Dropped', '854', 'Users']",False,False,9.27,0.99,0.11,3388.88,33649,1.75,3.37,,,,,,,,3.42,,3.47,,,,,,,,,,,,2.8,0.28,3.17,0.84,,,,,0.28,0.49,,0.49,,,,0.34,,,
Machikado Mazoku: 2-Choume,78,まちカドまぞく 2丁目,Machikado Mazoku: 2-Choume,The Demon Girl Next Door Season 2,#まちカドまぞく,Spring 2022,394,16835,"Comedy, Fantasy, Mahou Shoujo, Slice of Life","Cute Girls Doing Cute Things, 94%, Female Protagonist, 91%, Primarily Female Cast, 90%, Demons, 88%, Urban Fantasy, 87%, Magic, 84%, Food, 70%, Seinen, 68%, Henshin, 66%, Slapstick, 60%, Kuudere, 50%, School, 46%, Youkai, 43%, Coming of Age, 40%, Urban, 40%, Family Life, 30%, Work, 20%, Kemonomimi, 20%, Parody, 20%, Meta, 20%, 4-koma, 20%, Show 1 spoiler tags","['Planning', '7647', 'Users', 'Completed', '6266', 'Users', 'Current', '2168', 'Users', 'Paused', '447', 'Users']",True,False,0.0,1.22,0.0,3332.82,30732,1.83,3.64,,0.36,,,3.75,,,0.24,,,6.83,2.96,0.5,,,,0.52,,,0.24,,3.56,0.27,,,1.09,,,,,0.54,0.54,,,,,0.4,,,
Heroine Tarumono!: Kiraware Heroine to Naisho no Oshigoto,71,ヒロインたるもの！〜嫌われヒロインと内緒のお仕事〜,Heroine Tarumono!: Kiraware Heroine to Naisho no Oshigoto,Heroines Run the Show,#ヒロインたるもの,Spring 2022,238,14580,"Drama, Music, Slice of Life","Idol, 95%, Female Protagonist, 88%, School, 68%, Athletics, 68%, Primarily Male Cast, 66%, Cute Boys Doing Cute Things, 40%, Musical, 30%, Advertisement, 20%, Work, 20%, Gyaru, 13%, School Club, 13%","['Planning', '6216', 'Users', 'Completed', '5611', 'Users', 'Current', '1555', 'Users', 'Dropped', '824', 'Users']",False,False,6.81,1.11,0.15,4349.5,16898,1.16,2.36,,0.04,,,,,,1.69,,,,,,,,,,,,,,1.82,0.23,0.23,,0.13,1.89,0.32,,0.04,0.3,0.3,,,,,,,,
Kunoichi Tsubaki no Mune no Uchi,69,くノ一ツバキの胸の内,Kunoichi Tsubaki no Mune no Uchi,In the Heart of Kunoichi Tsubaki,#くノ一ツバキ,Spring 2022,248,14259,"Comedy, Supernatural","Female Protagonist, 96%, Ninja, 93%, Primarily Female Cast, 88%, Cute Girls Doing Cute Things, 88%, Primarily Child Cast, 82%, Ensemble Cast, 80%, Tanned Skin, 52%, Twins, 52%, Episodic, 50%, Slapstick, 43%, Gyaru, 42%, Rural, 35%, Magic, 25%, Shounen, 20%","['Completed', '5368', 'Users', 'Planning', '5050', 'Users', 'Current', '1868', 'Users', 'Dropped', '1490', 'Users']",False,False,3.6,0.94,0.28,3967.22,17112,1.2,2.36,,0.14,,,1.97,,,,,,0.08,,0.08,,,,1.68,,,,,,,,,0.59,,,,,0.46,0.32,,0.27,0.07,,,,,
"Kono Healer, Mendokusai",58,このヒーラー、めんどくさい,"Kono Healer, Mendokusai","Don’t Hurt Me, My Healer!",#このヒーラー #kono_healer,Spring 2022,136,12610,"Adventure, Comedy, Fantasy, Slice of Life","Surreal Comedy, 100%, Slapstick, 100%, Elf, 92%, Seinen, 85%, Female Protagonist, 82%, Tsundere, 79%, Magic, 79%, Parody, 76%, Male Protagonist, 74%, Meta, 74%, Dungeon, 20%, Dancing, 20%, Cosplay, 20%, Show 5 spoiler tags","['Planning', '4172', 'Users', 'Completed', '3611', 'Users', 'Dropped', '2410', 'Users', 'Current', '1951', 'Users']",False,False,1.5,1.16,0.67,5377.79,7888,0.63,1.42,,0.1,,0.65,1.36,,,,,,1.09,,0.1,,,,,,,,,0.65,,,0.03,,,,,,0.15,0.11,0.1,,,,0.11,,,
BIRDIE WING: Golf Girls' Story,72,"""BIRDIE WING -Golf Girls Story-""","""BIRDIE WING: Golf Girls Story""","""BIRDIE WING -Golf Girls Story-""",#バディゴル #BW_golf,Spring 2022,266,12414,Sports,"Golf, 98%, Female Protagonist, 92%, Primarily Female Cast, 91%, Gambling, 74%, Primarily Teen Cast, 71%, Mafia, 69%, LGBTQ+ Themes, 68%, Super Power, 65%, Gangs, 60%, Show 3 spoiler tags","['Planning', '5034', 'Users', 'Completed', '4684', 'Users', 'Current', '1424', 'Users', 'Dropped', '899', 'Users']",False,True,5.21,1.07,0.19,3360.18,19152,1.54,3.14,,,0.3,,,,,,,,,,,,,,0.3,,,0.59,,,,3.18,,0.42,,,,,0.42,0.42,,,,,,,,
RPG Fudousan,63,RPG不動産,RPG Fudousan,RPG Real Estate,#RPG不動産,Spring 2022,147,10992,"Comedy, Fantasy, Slice of Life","Primarily Female Cast, 88%, Work, 88%, Cute Girls Doing Cute Things, 87%, Female Protagonist, 86%, Iyashikei, 75%, Seinen, 43%, Magic, 42%, Rural, 26%, 4-koma, 20%, Show 3 spoiler tags","['Planning', '4008', 'Users', 'Completed', '3633', 'Users', 'Current', '1530', 'Users', 'Dropped', '1455', 'Users']",False,False,2.5,1.1,0.4,4710.86,9261,0.84,1.79,,,,,1.03,,,,,,1.2,,0.09,,,,,,,,,1.69,,,,0.36,,,,,0.18,0.18,,,,,0.09,,,0.15
Love Live! Nijigasaki Gakuen School Idol Doukoukai 2,76,ラブライブ！虹ヶ咲学園スクールアイドル同好会 2,Love Live! Nijigasaki Gakuen School Idol Doukoukai 2,Love Live! Nijigasaki High School Idol Club Season 2,#虹ヶ咲 #lovelive,Spring 2022,329,10328,"Music, Slice of Life","Ensemble Cast, 100%, Idol, 97%, School Club, 95%, Musical, 95%, Primarily Female Cast, 93%, Female Protagonist, 86%, Dancing, 86%, Primarily Teen Cast, 86%, Cute Girls Doing Cute Things, 64%, School, 20%, LGBTQ+ Themes, 13%","['Completed', '4635', 'Users', 'Planning', '3913', 'Users', 'Current', '1275', 'Users', 'Paused', '262', 'Users']",True,True,0.0,0.84,0.0,2385.8,25004,2.42,4.23,,,,,,,,,,,,,,,,,,,,,,3.82,0.15,,0.66,1.2,5.28,0.74,,0.73,1.42,0.66,,0.76,,,,,,
Healer Girl,71,ヒーラー・ガール,Healer Girl,Healer Girl,#ヒーラー・ガール,Spring 2022,222,9342,"Music, Slice of Life, Supernatural","Primarily Female Cast, 94%, Musical, 94%, Female Protagonist, 93%, Cute Girls Doing Cute Things, 86%, Magic, 81%, Iyashikei, 77%, Primarily Teen Cast, 60%, School, 51%, Rural, 40%, Maids, 28%, LGBTQ+ Themes, 20%, Show 2 spoiler tags","['Planning', '3526', 'Users', 'Completed', '3425', 'Users', 'Current', '1163', 'Users', 'Dropped', '843', 'Users']",False,False,4.06,1.03,0.25,2987.76,15762,1.69,3.44,,,,,,,,,,,0.4,,0.4,,,,2.46,,,,,3.21,0.25,,,1.02,3.38,,,,0.46,0.46,,,,,,,,0.38
Love All Play,61,ラブオールプレー,Love All Play,Love All Play,#ラブオールプレー,Spring 2022,101,9315,Sports,"Badminton, 100%, Primarily Teen Cast, 80%, Male Protagonist, 76%, Primarily Male Cast, 72%, School Club, 72%, School, 66%, Twins, 20%, POV, 10%","['Planning', '3968', 'Users', 'Completed', '1953', 'Users', 'Current', '1697', 'Users', 'Dropped', '1272', 'Users']",False,False,1.54,2.03,0.65,5625.89,6161,0.66,1.69,,,,,,,,,,,,,,,,,,,,,,,0.1,1.06,,,,,,0.11,0.12,,0.12,,,,,,,
Black★★Rock Shooter: DAWN FALL,53,ブラック★★ロックシューター DAWN FALL,Black★★Rock Shooter: DAWN FALL,BLACK ROCK SHOOTER DAWN FALL,#ブラックロックシューター #BRS #BRSDF,Spring 2022,113,8046,Action,"Post-Apocalyptic, 92%, Robots, 88%, Cyborg, 79%, Artificial Intelligence, 79%, Amnesia, 79%, Cult, 70%, Female Protagonist, 66%, Full CGI, 60%, Rape, 46%, LGBTQ+ Themes, 45%, Environmental, 40%, Dissociative Identities, 20%, Cyberpunk, 20%, Alternate Universe, 20%, Guns, 20%, Military, 20%, Tragedy, 20%","['Planning', '4742', 'Users', 'Completed', '1368', 'Users', 'Current', '933', 'Users', 'Dropped', '793', 'Users']",False,False,1.73,3.47,0.58,3773.79,5989,0.74,2.6,,,0.66,0.05,,,,,0.11,,,,,,0.2,,,,0.05,0.13,,,,,,,,,0.09,,0.08,0.08,,,,,,,0.12,
Shachiku-san wa Youjo Yuurei ni Iyasaretai.,67,社畜さんは幼女幽霊に癒されたい。,Shachiku-san wa Youjo Yuurei ni Iyasaretai.,Miss Shachiku and the Little Baby Ghost,#しゃちされたい,Spring 2022,126,7937,"Comedy, Slice of Life, Supernatural","Ghost, 95%, Female Protagonist, 92%, Cute Girls Doing Cute Things, 90%, Iyashikei, 82%, Work, 75%, Primarily Female Cast, 73%, Shounen, 40%","['Planning', '2850', 'Users', 'Completed', '2689', 'Users', 'Current', '1122', 'Users', 'Dropped', '951', 'Users']",False,False,2.83,1.06,0.35,4220.47,8442,1.06,2.22,,,,,1.43,,,,,,0.27,,,,,,1.97,,,,,2.33,,,,0.36,,,,,0.26,0.26,,,0.11,,,,,0.23
Magia Record: Mahou Shoujo Madoka☆Magica Gaiden Final SEASON - Asaki Yume no Akatsuki,68,マギアレコード 魔法少女まどか☆マギカ外伝 Final SEASON ‐浅き夢の暁‐,Magia Record: Mahou Shoujo Madoka☆Magica Gaiden Final SEASON - Asaki Yume no Akatsuki,Magia Record: Puella Magi Madoka Magica Side Story Final Season -Dawn of a Shallow Dream-,#マギレコ,Spring 2022,86,7928,"Drama, Mahou Shoujo, Psychological, Thriller","Magic, 86%, Witch, 84%, Ensemble Cast, 79%, Female Protagonist, 60%, Primarily Female Cast, 60%, Henshin, 60%, CGI, 20%, Show 1 spoiler tags","['Planning', '3845', 'Users', 'Completed', '3527', 'Users', 'Current', '412', 'Users', 'Dropped', '72', 'Users']",True,False,48.99,1.09,0.02,6268.65,5848,0.74,1.48,,,,,,,,1.01,,,0.47,1.01,0.17,,,,,,,,,,,,,0.12,,,1.01,,0.28,0.12,,0.16,,,,,,
Kingdom 4th Season,82,キングダム 第4シリーズ,Kingdom 4th Season,Kingdom Season 4,#キングダム,Spring 2022,260,6629,Action,"War, 100%, Male Protagonist, 90%, Swordplay, 88%, Seinen, 85%, Historical, 79%, Ensemble Cast, 79%, Politics, 55%, Tragedy, 20%","['Planning', '2793', 'Users', 'Completed', '2451', 'Users', 'Current', '1154', 'Users', 'Paused', '125', 'Users']",True,True,0.0,1.14,0.0,2090.68,21320,3.22,5.91,,,7.42,,,,,,,,0.97,,,,,,,0.87,1.1,0.6,,,,,,,,,0.6,,1.86,,0.99,0.87,,,0.93,,,
